Serial number;Method name;Last modification;Sample ID;Start time;End time;Pattern [ml];Titration duration [s];Start pH;End pH;Start temperature [°C];End temperature [°C];Zero point [pH];Slope [%];EP [ml];EP [pH];TA [mmol/l];Mean value 1 [mmol/l];RSD 1 [%];Name;Recalculation
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Spi_D2_X;01/26/22 13:13:07;01/26/22 13:22:21;50.00000;552.96;8.390;3.491;22.0;22.4;7.16;93.1;1.536;3.495;3.096 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;ContrA;01/26/22 13:24:39;01/26/22 13:34:06;50.00000;566.48;8.245;3.411;22.0;22.3;7.16;93.1;1.576;3.495;3.177 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pru_A1_X;01/26/22 13:36:44;01/26/22 13:46:23;50.00000;578.44;8.210;3.392;22.0;22.2;7.16;93.1;1.568;3.495;3.160 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pve_A2_X;01/26/22 13:49:34;01/26/22 13:59:28;50.00000;593.12;8.156;3.353;22.2;22.3;7.16;93.1;1.573;3.495;3.171 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Spi_B1_X;01/26/22 14:02:03;01/26/22 14:11:28;50.00000;564.38;8.228;3.462;21.9;22.3;7.16;93.1;1.571;3.495;3.167 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Axu_A1_P;01/26/22 14:14:26;01/26/22 14:24:35;50.00000;607.51;8.308;3.471;21.9;22.2;7.16;93.1;1.549;3.495;3.122 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Xdi_A2_P;01/26/22 14:27:05;01/26/22 14:37:42;50.00000;636.61;8.350;3.404;21.7;22.1;7.16;93.1;1.585;3.495;3.195 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pru_B1_P;01/26/22 14:40:41;01/26/22 14:51:17;50.00000;635.98;8.299;3.470;21.9;22.1;7.16;93.1;1.558;3.495;3.140 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Axu_B2_X;01/26/22 14:54:26;01/26/22 15:05:25;50.00000;657.51;8.373;3.251;21.7;22.2;7.16;93.1;1.507;3.495;3.038 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Xdi_C1_X;01/26/22 15:07:55;01/26/22 15:18:04;50.00000;608.48;8.174;3.445;21.8;22.2;7.16;93.1;1.549;3.495;3.122 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pve_B2_P;01/26/22 15:20:31;01/26/22 15:31:15;50.00000;643.64;8.286;3.419;21.9;22.1;7.16;93.1;1.533;3.495;3.090 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Spi_C1_P;01/26/22 15:34:00;01/26/22 15:44:02;50.00000;601.63;8.458;3.340;21.3;21.8;7.16;93.1;1.514;3.495;3.052 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;ContrB;01/26/22 15:46:19;01/26/22 15:56:15;50.00000;595.72;8.550;3.425;21.3;21.8;7.16;93.1;1.555;3.495;3.134 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Ref3;01/26/22 15:58:58;01/26/22 16:07:48;50.00000;529.03;8.247;3.355;21.4;21.8;7.16;93.1;1.322;3.495;2.665 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Ref4;01/26/22 16:10:10;01/26/22 16:19:32;50.00000;560.99;8.631;3.258;21.3;21.8;7.16;93.1;1.281;3.495;2.582 ;;;SCP-pHT-A170MF-3M-DIN-N;
