"","fragment_ID","Species","Category","Date","eluation_ml","resuspention_ml","vol_chamber","vol_five_squares","count_1","count_2","count_3","count_4","count_5","count_6","Notes","mean_cells","surface_cm2","cells_ml","cells_cm2"
"38","Pru_C1_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",55,47,44,47,39,39,NA,45.1666666666667,28.3171265,2258333.33333333,638012.005443655
"39","Pru_C1_P","Pru","P",2022-08-03,10,8,"0.1","0.00125",61,63,46,53,48,55,NA,54.3333333333333,21.67427734,2716666.66666667,1002724.70414616
"40","Pru_C2_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",49,50,48,66,55,46,NA,52.3333333333333,28.4735864,2616666.66666667,735184.287615182
"41","Pru_C2_P","Pru","P",2022-08-04,10,8,"0.1","0.00125",54,42,39,54,57,27,NA,45.5,18.38773682,2275000,989790.107296086
"42","Pru_D1_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",35,38,38,50,25,30,NA,36,28.83695313,1800000,499359.274715442
"43","Pru_D1_P","Pru","P",2022-08-03,10,8,"0.1","0.00125",77,90,72,82,69,78,NA,78,27.6124927,3900000,1129923.34082174
"44","Pru_D2_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",30,20,19,35,29,34,NA,27.8333333333333,24.37818848,1391666.66666667,456692.397077296
"45","Pru_D2_P","Pru","P",2022-08-04,10,8,"0.1","0.00125",46,43,39,36,52,32,NA,41.3333333333333,28.9640137,2066666.66666667,570823.281074934
"46","Pve_A1_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",30,21,40,38,35,36,NA,33.3333333333333,16.4665112,1666666.66666667,809724.244036183
"47","Pve_A1_P","Pve","P",2022-08-04,10,8,"0.1","0.00125",34,56,70,52,62,48,NA,53.6666666666667,14.50404663,2683333.33333333,1480046.72173801
"48","Pve_A2_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",17,16,19,27,31,16,NA,21,17.1237244,1050000,490547.488605925
"49","Pve_B1_P","Pve","P",2022-08-03,10,8,"0.1","0.00125",68,61,71,63,66,61,NA,65,18.7371912,3250000,1387614.59615142
"50","Pve_B2_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",42,39,35,37,38,31,NA,37,10.40866577,1850000,1421892.13555658
"51","Pve_B2_P","Pve","P",2022-08-03,10,8,"0.1","0.00125",65,99,77,76,77,77,NA,78.5,24.5209937,3925000,1280535.38058696
"52","Pve_C1_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",80,49,64,66,73,83,NA,69.1666666666667,18.1272693,3458333.33333333,1526245.69143829
"53","Pve_C1_P","Pve","P",2022-08-04,10,8,"0.1","0.00125",117,139,117,140,115,130,NA,126.333333333333,23.67970703,6316666.66666667,2134035.41138884
"54","Pve_C2_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",70,59,75,53,84,92,NA,72.1666666666667,18.848429,3608333.33333333,1531515.79193506
"55","Pve_C2_P","Pve","P",2022-08-03,10,8,"0.1","0.00125",72,74,67,70,73,69,NA,70.8333333333333,16.3557312,3541666.66666667,1732318.35292899
"56","Pve_D1_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",44,47,52,52,58,39,"viele geplatzte Dinoflagellaten",48.6666666666667,19.7433569,2433333.33333333,985985.654074189
"57","Pve_D1_P","Pve","P",2022-08-04,10,8,"0.1","0.00125",45,46,52,53,48,51,NA,49.1666666666667,17.63063354,2458333.33333333,1115482.69788759
"58","Pve_D2_M","Pve","M",2022-08-04,10,8,"0.1","0.00125",41,38,45,35,35,48,NA,40.3333333333333,12.11618042,2016666.66666667,1331552.74798502
"59","Pve_D2_P","Pve","P",2022-08-03,10,8,"0.1","0.00125",54,38,38,45,51,21,NA,41.1666666666667,16.8677344,2058333.33333333,976222.785833447
"60","Spi_A1_M","Spi","M",2022-08-02,10,15,"0.1","0.00125",99,114,77,75,117,83,NA,94.1666666666667,21.14143311,4708333.33333333,3340596.6205098
"61","Spi_A1_P","Spi","P",2022-08-02,10,15,"0.1","0.00125",46,79,69,58,68,65,NA,64.1666666666667,13.95110474,3208333.33333333,3449547.60908777
"62","Spi_A2_M","Spi","M",2022-08-02,10,15,"0.1","0.00125",91,70,74,68,83,64,NA,75,17.2790857,3750000,3255380.57838327
"63","Spi_A2_P","Spi","P",2022-08-02,10,8,"0.1","0.00125",129,129,140,150,131,91,NA,128.333333333333,15.24040283,6416666.66666667,3368239.92816556
"64","Spi_B1_M","Spi","M",2022-08-03,10,8,"0.1","0.00125",9,13,13,23,21,29,NA,18,8.40782104,9e+05,856345.534205138
"65","Spi_B1_P","Spi","P",2022-08-02,10,8,"0.1","0.00125",57,53,46,53,50,66,NA,54.1666666666667,11.76911621,2708333.33333333,1840976.52534494
"66","Spi_B2_M","Spi","M",2022-08-03,10,8,"0.1","0.00125",24,26,29,34,32,31,NA,29.3333333333333,6.84072388,1466666.66666667,1715218.08790407
"67","Spi_B2_P","Spi","P",2022-08-02,10,8,"0.1","0.00125",7,6,7,8,7,3,NA,6.33333333333333,6.32897095,316666.666666667,400275.708854902
"68","Spi_C1_M","Spi","M",2022-08-03,10,8,"0.1","0.00125",49,46,37,37,34,48,NA,41.8333333333333,14.39661865,2091666.66666667,1162309.96598172
"69","Spi_C1_P","Spi","P",2022-08-03,10,8,"0.1","0.00125",60,48,64,59,61,50,NA,57,26.2864771,2850000,867366.133288359
"70","Spi_C2_M","Spi","M",2022-08-03,10,8,"0.1","0.00125",31,18,16,37,22,16,NA,23.3333333333333,10.24193481,1166666.66666667,911286.149197168
"71","Spi_C2_P","Spi","P",2022-08-02,10,8,"0.1","0.00125",85,69,71,70,63,78,NA,72.6666666666667,17.81545654,3633333.33333333,1631542.06019952
"72","Spi_D1_M","Spi","M",2022-08-02,10,18,"0.1","0.00125",100,100,91,129,106,101,NA,104.5,24.0249414,5225000,3914681.76484293
"73","Spi_D1_P","Spi","P",2022-08-02,10,8,"0.1","0.00125",153,188,185,186,187,177,NA,179.333333333333,28.70860596,8966666.66666667,2498670.03062706
"74","Spi_D2_M","Spi","M",2022-08-03,10,18,"0.1","0.00125",99,105,81,81,78,97,NA,90.1666666666667,24.1256543,4508333.33333333,3363639.34386642
"75","Spi_D2_P","Spi","P",2022-08-02,10,18,"0.1","0.00125",94,89,87,63,100,85,NA,86.3333333333333,29.32074707,4316666.66666667,2650000.69113178
