"","fragment_ID","jar_nr","run","date","position","cond_organism","incubation","genus","species","colony","col_frag","time_start_L","oxygen_start_L","temp_start_L","saturation_start_L","time_stop_L","oxygen_stop_L","temp_stop_L","saturation_stop_L","salinity_cond_L","temp_cond_L","time_start_D","oxygen_start_D","temp_start_D","saturation_start_D","time_stop_D","oxygen_stop_D","temp_stop_D","saturation_stop_D","light_intensity_L","salinity_cond_D","temp_cond_D","flow_velocity","time_L_min","time_D_min","oxy_L_diff","oxy_D_diff","vol_jar_L","base_O2produced_ug_min","base_O2produced_ug_h","base_O2respiration_ug_min","base_O2respiration_ug_h","mean(base_O2produced_ug_h)","mean(base_O2respiration_ug_h)","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","surface_cm2","net_photo_ug_h_cm2","respiration_ug_h_cm2","gross_photo_ug_h_cm2"
"39","Pru-A-2","4","16",2021-04-05,"A12","Hsp","off-species","macroalgae","Pru","A","2",12H 14M 0S,6.71,25.2,101.7,13H 44M 0S,7.38,25.9,113.4,34.2,22.9,14H 14M 0S,6.55,25.5,99.7,15H 44M 0S,6.22,25.7,94.9,198,34.2,23.3,7.370305346,90,90,670,330,1.0268,7.64395555555555,458.637333333333,3.76493333333333,225.896,23.8043666666668,37.4078333333331,434.832966666666,188.488166666667,623.321133333333,90.73220703,4.79248748487835,2.07741190076358,6.86989938564193
"40","Pru-A-2","11","4",2021-03-22,"B12","Ssp","off-species","soft coral","Pru","A","2",12H 31M 0S,6.74,24.7,9.8,14H 1M 0S,7.24,25.9,109.6,34.2,23.1,14H 38M 0S,6.61,24.9,98.7,16H 8M 0S,6.3,25.5,94.5,198,34.4,23.1,6.788963055,90,90,500,310.000000000001,1.0185,5.65833333333333,339.5,3.50816666666667,210.49,51.0097000000001,64.6107666666668,288.4903,145.879233333334,434.369533333333,90.73220703,3.17957988065486,1.60779989937972,4.78737978003458
"41","Pru-A-2","2","15",2021-04-04,"A7","Hcn","off-species","sponge","Pru","A","2",12H 28M 0S,6.41,25.5,98.1,13H 58M 0S,7.29,25.8,112.5,34.4,23.5,14H 32M 0S,6.48,25.9,99.8,16H 2M 0S,6.12,25.5,93.6,195,34.2,23.7,6.874382174,90,90,880,360,1.02281,10.0008088888889,600.048533333333,4.09124,245.4744,27.2049333333334,16.96586007326,572.8436,228.50853992674,801.35213992674,90.73220703,6.31356404469025,2.51849423051272,8.83205827520296
"42","Pru-A-2","6","5",2021-03-24,"B4","Csp","off-species","macroalgae","Pru","A","2",12H 24M 0S,6.83,25.4,102.4,13H 56M 0S,7.45,26,112.9,34.1,23.5,14H 28M 0S,6.58,25.8,99.5,15H 59M 0S,6.2,25.7,93.6,200,34.2,23.3,6.878144835,92,91,620,380,1.02353,6.89770217391305,413.862130434783,4.27408131868132,256.444879120879,2.5889306636152,-6.30129949121199,411.273199771168,262.746178612091,674.019378383259,90.73220703,4.53282481748937,2.89584247107773,7.4286672885671
"43","Pru-A-2","5","8",2021-03-28,"B2","Pru","within-species","stony coral","Pru","A","2",12H 18M 0S,6.62,26,99.3,13H 48M 0S,7.31,25.2,108.7,34.6,23.1,14H 18M 0S,6.46,24.7,95.1,15H 48M 0S,6.06,25.3,90.3,197,34.7,23.2,6.897020096,90,90,690,400,1.02427,7.85273666666666,471.1642,4.55231111111112,273.138666666667,-20.4343999999996,20.4344000000002,491.598599999999,252.704266666667,744.302866666666,90.73220703,5.41812677208938,2.78516609414242,8.2032928662318
"44","Pru-A-2","6","9",2021-03-29,"B4","Amu","off-species","stony coral","Pru","A","2",12H 21M 0S,6.77,25.4,101,13H 51M 0S,7.45,25.4,111.2,34.4,23.6,14H 28M 0S,6.66,25.5,99.5,15H 58M 0S,6.31,25.5,93.8,200,34.2,23.6,6.878144835,90,90,680.000000000001,350.000000000001,1.02353,7.73333777777778,464.000266666667,3.98039444444445,238.823666666667,10.2386732600733,9.87377419354847,453.761593406594,228.949892473119,682.711485879712,90.73220703,5.00110829726164,2.52335857318469,7.52446687044632
"45","Pru-C-1","10","14",2021-04-03,"B11","Csp","off-species","macroalgae","Pru","C","1",12H 28M 0S,6.62,25.5,99.4,13H 58M 0S,7.43,25.3,111.6,34.4,23.3,14H 29M 0S,6.51,25.3,97.4,15H 59M 0S,6.12,25.4,92,195,34.2,23.3,7.004665894,90,90,810,390,1.01669,9.15021,549.0126,4.40565666666666,264.3394,34.0068666666668,6.80073333333319,515.005733333333,257.538666666667,772.5444,104.01254883,4.95138076247961,2.47603457047853,7.42741533295814
"46","Pru-C-1","11","1",2021-03-19,"B12","Amu","off-species","stony coral","Pru","C","1",12H 23M 0S,6.72,24.9,100.4,13H 54M 0S,7.28,25.8,110.2,34.3,23.6,15H 5M 0S,6.59,25.1,98.4,16H 35M 0S,6.19,25.5,93.1,198,34.5,23.5,6.788963055,91,90,560,399.999999999999,1.0185,6.26769230769231,376.061538461539,4.52666666666666,271.6,57.1763406593409,36.4522611008327,318.885197802198,235.147738899167,554.032936701365,104.01254883,3.06583389590221,2.26076316314002,5.32659705904223
"47","Pru-C-1","10","3",2021-03-21,"B11","Xsp","off-species","soft coral","Pru","C","1",12H 29M 0S,6.92,25.2,104,13H 59M 0S,7.57,25.9,115.1,34.3,23.3,14H 30M 0S,6.59,25.4,99.4,16H 0M 0S,6.2,25.6,93.4,195,34.3,23.3,7.004665894,90,90,650,390,1.01669,7.34276111111111,440.565666666667,4.40565666666666,264.3394,20.4013999999999,6.79793333333319,420.164266666667,257.541466666667,677.705733333333,104.01254883,4.03955360572301,2.47606149030726,6.51561509603027
"48","Pru-C-1","1","7",2021-03-27,"A6","Pru","within-species","stony coral","Pru","C","1",12H 10M 0S,6.78,25.8,102.7,13H 40M 0S,7.58,25.4,114.1,34.7,23.1,14H 19M 0S,6.39,27.7,99.5,15H 41M 0S,5.92,25.3,88.5,199,34.6,23.1,6.950426225,90,82,800,470,1.02096,9.0752,544.512,5.85184390243902,351.110634146341,-13.6038666666664,-14.931073170732,558.115866666666,366.041707317073,924.15757398374,104.01254883,5.36585126453214,3.5192071671596,8.88505843169173
"49","Pru-C-1","6","13",2021-04-02,"B4","Hsp","off-species","macroalgae","Pru","C","1",12H 21M 0S,6.51,25.4,97.8,13H 52M 0S,7.42,25.4,111.6,34.3,23,14H 22M 0S,6.59,25.8,99.7,15H 53M 0S,6.13,25.5,92.7,200,34.3,22.9,6.878144835,91,91,910,460,1.02353,10.2353,614.118,5.17388791208791,310.433274725275,25.6724657922723,-6.65289130434769,588.445534207728,317.086166029622,905.53170023735,104.01254883,5.65744749866186,3.04853760047621,8.70598509913806
"50","Pru-C-1","10","12",2021-04-01,"B11","Ssp","off-species","soft coral","Pru","C","1",12H 27M 0S,6.56,25.3,98.7,13H 58M 0S,7.46,25.4,112.7,34.6,23.3,14H 26M 0S,6.54,25.5,99,15H 57M 0S,6.08,25.5,92.2,195,34.4,23.5,7.004665894,91,91,900,460,1.01669,10.0551758241758,603.31054945055,5.13931208791209,308.358725274725,-22.9680399719493,6.65210869565203,626.278589422499,301.706616579073,927.985206001572,104.01254883,6.02118298673846,2.90067515865021,8.92185814538867
"51","Pru-C-1","11","10",2021-03-30,"B12","Mdi","off-species","stony coral","Pru","C","1",12H 32M 0S,6.66,25.1,98.4,14H 2M 0S,7.51,25.4,111.7,23.4,23.2,14H 33M 0S,6.68,25.2,99.1,16H 5M 0S,6.19,25.4,92.3,198,34.4,23.3,6.788963055,90,92,850,489.999999999999,1.0185,9.61916666666666,577.15,5.42461956521738,325.477173913043,10.2013000000001,26.6143043478261,566.9487,298.862869565217,865.811569565216,104.01254883,5.45077210757166,2.87333473630844,8.3241068438801
"52","Pru-C-1","4","6",2021-03-25,"A12","Hcn","off-species","sponge","Pru","C","1",12H 24M 0S,6.54,25.9,99.2,13H 55M 0S,7.45,26,112.8,34.2,23.5,14H 25M 0S,6.6,25.4,99.5,15H 56M 0S,6.15,25.3,92.6,198,34.4,23.6,7.370305346,91,91,910,449.999999999999,1.0268,10.268,616.08,5.07758241758241,304.654945054945,19.961804347826,6.6886658485275,596.118195652174,297.966279206417,894.084474858591,104.01254883,5.73121418865026,2.86471471527362,8.59592890392388
"53","Pru-C-2","9","2",2021-03-20,"B10","Mdi","off-species","stony coral","Pru","C","2",12H 30M 0S,6.71,25.2,100.2,14H 2M 0S,7.35,25.8,110.7,34.3,23.2,14H 33M 0S,6.66,25.1,99.2,16H 4M 0S,6.31,25.6,94.4,195,34.3,23.2,7.024242937,92,91,640,350.000000000001,1.02596,7.13711304347826,428.226782608695,3.94600000000001,236.76,43.396084687052,26.5777471949509,384.830697921643,210.182252805049,595.012950726693,95.8694043,4.01411379085458,2.1923809200622,6.20649471091678
"54","Pru-C-2","11","11",2021-03-31,"B12","Xsp","off-species","soft coral","Pru","C","2",12H 29M 0S,6.71,24.8,99.5,14H 0M 0S,7.32,25.5,110,34.6,23.3,14H 31M 0S,6.55,25.4,98.4,16H 2M 0S,6.15,25.5,92.4,198,34.4,23.5,6.788963055,91,91,610,399.999999999999,1.0185,6.8273076923077,409.638461538462,4.47692307692307,268.615384615384,-9.97992391304327,32.9899429347828,419.618385451505,235.625441680601,655.243827132106,95.8694043,4.37697916781053,2.45777517239253,6.83475434020306
"55","Pru-C-2","12","5",2021-03-24,"C4","Csp","off-species","macroalgae","Pru","C","2",12H 37M 0S,6.77,25.5,101.6,14H 10M 0S,7.42,25.9,112.1,34.1,23.5,14H 42M 0S,6.56,25.4,98.6,16H 13M 0S,6.18,25.5,93.1,196,34.2,23.3,8.117810474,93,91,650,380,1.01679,7.10659677419355,426.395806451613,4.24593626373626,254.756175824176,2.5889306636152,-6.30129949121199,423.806875787998,261.057475315388,684.864351103386,95.8694043,4.42066870950608,2.72305306600708,7.14372177551317
"56","Pru-C-2","2","4",2021-03-22,"A7","Ssp","off-species","soft coral","Pru","C","2",12H 10M 0S,6.86,24.5,101.5,13H 40M 0S,7.57,25.5,113.7,34.2,23.1,14H 16M 0S,6.6,25.5,99.1,15H 46M 0S,6.3,25.2,93.7,195,34.4,23.1,6.874382174,90,90,710,300,1.02281,8.06883444444444,484.130066666667,3.40936666666666,204.562,51.0097000000001,64.6107666666668,433.120366666667,139.951233333333,573.0716,95.8694043,4.51781639647329,1.4598112333669,5.97762762984019
"57","Pru-C-2","1","16",2021-04-05,"A6","Hsp","off-species","macroalgae","Pru","C","2",12H 8M 0S,6.76,25.2,102.3,13H 38M 0S,7.46,25.9,114.2,34.2,22.9,14H 8M 0S,6.54,25.5,99.6,15H 38M 0S,6.25,25.7,94.8,199,34.2,23.3,6.950426225,90,90,700,290,1.02096,7.9408,476.448,3.28976,197.3856,23.8043666666668,37.4078333333331,452.643633333333,159.977766666667,612.6214,95.8694043,4.72146078968943,1.66870512896957,6.390165918659
"58","Pru-C-2","12","9",2021-03-29,"C4","Amu","off-species","stony coral","Pru","C","2",12H 36M 0S,6.73,25.4,100.2,14H 6M 0S,7.27,25.8,109,34.4,23.6,14H 41M 0S,6.61,25.2,98,16H 11M 0S,6.33,25.6,93.8,196,34.2,23.6,8.117810474,90,90,539.999999999999,280,1.01679,6.10073999999999,366.044399999999,3.16334666666667,189.8008,10.2386732600733,9.87377419354847,355.805726739926,179.927025806452,535.732752546378,95.8694043,3.71135848123681,1.87679298854736,5.58815146978417
"59","Pru-C-2","6","8",2021-03-28,"B4","Pru","within-species","stony coral","Pru","C","2",12H 19M 0S,6.62,25.9,99.8,13H 50M 0S,7.35,25.2,109.3,34.6,23.1,14H 20M 0S,6.42,24.7,94.7,15H 50M 0S,6.04,25.3,98.9,200,34.7,23.2,6.878144835,91,90,730,380,1.02353,8.21073516483516,492.64410989011,4.32157111111111,259.294266666667,-20.4343999999996,20.4344000000002,513.078509890109,238.859866666666,751.938376556776,95.8694043,5.35184831528268,2.49151299531613,7.84336131059881
"60","Pru-C-2","8","15",2021-04-04,"B9","Hcn","off-species","sponge","Pru","C","2",12H 41M 0S,6.39,25.4,97.5,14H 11M 0S,7.23,25.6,111,34.4,23.5,14H 45M 0S,6.5,25.5,99.2,16H 15M 0S,6.14,25.6,93.9,202,34.2,23.7,6.579251631,90,90,840.000000000001,360,1.02544,9.57077333333334,574.246400000001,4.10176,246.1056,27.2049333333334,16.96586007326,547.041466666667,229.13973992674,776.181206593408,95.8694043,5.70611104409113,2.39012374802813,8.09623479211926
"61","Pru-D-1","1","14",2021-04-03,"A6","Csp","off-species","macroalgae","Pru","D","1",12H 7M 0S,6.76,25.7,102,13H 37M 0S,7.44,25.7,111.9,34.4,23.3,14H 11M 0S,6.47,25.6,97.5,15H 41M 0S,6.23,25.5,93.8,199,34.2,23.3,6.950426225,90,90,680.000000000001,239.999999999999,1.02096,7.71392000000001,462.8352,2.72255999999999,163.3536,34.0068666666668,6.80073333333319,428.828333333334,156.552866666666,585.3812,65.65858887,6.53118412554354,2.38434711072806,8.9155312362716
"62","Pru-D-1","1","12",2021-04-01,"A6","Ssp","off-species","soft coral","Pru","D","1",12H 8M 0S,6.67,25.9,101.4,13H 41M 0S,7.33,25.5,110.3,34.6,23.3,14H 8M 0S,6.52,25.7,99,15H 40M 0S,6.25,25.4,94.6,199,34.4,23.5,6.950426225,93,92,660,270,1.02096,7.24552258064516,434.73135483871,2.99629565217391,179.777739130434,-22.9680399719493,6.65210869565203,457.699394810659,173.125630434782,630.825025245442,65.65858887,6.970899050494,2.6367552732143,9.60765432370831
"63","Pru-D-1","3","7",2021-03-27,"A11","Pru","within-species","stony coral","Pru","D","1",12H 14M 0S,6.71,25.6,101.3,13H 44M 0S,7.45,25.5,111.6,34.7,23.1,14H 23M 0S,6.33,27.2,98.1,15H 43M 0S,5.92,25.3,88.6,200,34.6,23.1,7.051835362,90,80,740,410,1.02549,8.43180666666667,505.9084,5.25563625,315.338175,-13.6038666666664,-14.931073170732,519.512266666667,330.269248170732,849.781514837399,65.65858887,7.91232762701113,5.03009969989829,12.9424273269094
"64","Pru-D-1","12","13",2021-04-02,"C4","Hsp","off-species","macroalgae","Pru","D","1",12H 33M 0S,6.37,25.6,96.3,14H 5M 0S,7.15,25.9,108.5,34.3,23,14H 35M 0S,6.45,25.4,96.9,16H 6M 0S,6.18,25.7,93.3,196,34.3,22.9,8.117810474,92,91,780,270,1.01679,8.62061086956522,517.236652173913,3.01684945054946,181.010967032967,25.6724657922723,-6.65289130434769,491.564186381641,187.663858337315,679.228044718956,65.65858887,7.48666998242847,2.85817684429493,10.3448468267234
"65","Pru-D-1","5","10",2021-03-30,"B2","Mdi","off-species","stony coral","Pru","D","1",12H 20M 0S,6.72,25.5,100.3,13H 50M 0S,7.36,25.4,109.6,23.4,23.2,14H 21M 0S,6.67,25.4,99.3,15H 53M 0S,6.3,25.4,93.8,197,34.4,23.3,6.897020096,90,92,640.000000000001,370,1.02427,7.28369777777778,437.021866666667,4.11934673913044,247.160804347826,10.2013000000001,26.6143043478261,426.820566666667,220.5465,647.367066666667,65.65858887,6.50060523706572,3.35898933857182,9.85959457563753
"66","Pru-D-1","2","1",2021-03-19,"A7","Amu","off-species","stony coral","Pru","D","1",12H 3M 0S,6.85,24.6,101.7,13H 34M 0S,7.28,25.8,110.9,34.3,23.6,14H 46M 0S,6.52,25.8,98.7,16H 20M 0S,6.22,25.5,93.5,195,34.5,23.5,6.874382174,91,94,430.000000000001,300,1.02281,4.83305824175825,289.983494505495,3.26428723404255,195.857234042553,57.1763406593409,36.4522611008327,232.807153846154,159.40497294172,392.212126787874,65.65858887,3.54572277371203,2.42778554466549,5.97350831837752
"67","Pru-D-1","7","3",2021-03-21,"B7","Xsp","off-species","soft coral","Pru","D","1",12H 23M 0S,6.37,25.4,105.1,13H 53M 0S,7.51,25.9,114,34.3,23.3,14H 24M 0S,6.63,25.6,100.2,15H 54M 0S,6.22,25.6,94,199,34.3,23.3,6.989082655,90,90,1140,410,1.023,12.958,777.48,4.66033333333333,279.62,20.4013999999999,6.79793333333319,757.0786,272.822066666667,1029.90066666667,65.65858887,11.530534131627,4.15516189674496,15.685696028372
"68","Pru-D-1","1","6",2021-03-25,"A6","Hcn","off-species","sponge","Pru","D","1",12H 18M 0S,6.54,25.8,99.1,13H 51M 0S,7.2,25.5,108.9,34.2,23.5,14H 19M 0S,6.59,25.4,99.2,15H 51M 0S,6.31,25.2,95.2,199,34.4,23.6,6.950426225,93,92,660,280,1.02096,7.24552258064516,434.73135483871,3.10726956521739,186.436173913044,19.961804347826,6.6886658485275,414.769550490884,179.747508064516,594.5170585554,65.65858887,6.31706464651719,2.73760845546658,9.05467310198377
"69","Pru-D-2","5","15",2021-04-04,"B2","Hcn","off-species","sponge","Pru","D","2",12H 35M 0S,6.39,25.4,97.9,14H 5M 0S,6.98,25.6,107.2,34.4,23.5,14H 38M 0S,6.51,25.7,99.8,16H 8M 0S,6.23,25.6,95.3,197,34.2,23.7,6.897020096,90,90,590.000000000001,279.999999999999,1.02427,6.7146588888889,402.879533333334,3.18661777777777,191.197066666666,27.2049333333334,16.96586007326,375.674600000001,174.231206593406,549.905806593407,45.61700195,8.23540750029498,3.81943571794521,12.0548432182402
"70","Pru-D-2","8","8",2021-03-28,"B9","Pru","within-species","stony coral","Pru","D","2",12H 23M 0S,6.62,25.8,99.6,13H 53M 0S,7.18,25.3,106.7,34.6,23.1,14H 24M 0S,6.5,24.6,95.6,15H 54M 0S,6.14,25.2,91.6,202,34.7,23.2,6.579251631,90,90,560,360,1.02544,6.38051555555555,382.830933333333,4.10176,246.1056,-20.4343999999996,20.4344000000002,403.265333333333,225.6712,628.936533333333,45.61700195,8.84024192943115,4.94708530489036,13.7873272343215
"71","Pru-D-2","7","16",2021-04-05,"B7","Hsp","off-species","macroalgae","Pru","D","2",12H 20M 0S,6.63,25.1,100.1,13H 50M 0S,7.24,25.6,110.5,34.2,22.9,14H 20M 0S,6.62,25.3,100.7,15H 50M 0S,6.29,25.5,95.8,199,34.2,23.3,6.989082655,90,90,610,330,1.023,6.93366666666667,416.02,3.751,225.06,23.8043666666668,37.4078333333331,392.215633333333,187.652166666667,579.8678,45.61700195,8.5980142615079,4.11364532181113,12.711659583319
"72","Pru-D-2","3","9",2021-03-29,"A11","Amu","off-species","stony coral","Pru","D","2",12H 14M 0S,6.78,25.6,101,13H 44M 0S,7.18,25.5,107,34.4,23.6,14H 20M 0S,6.63,25.5,99,15H 49M 0S,6.41,25.3,95.8,200,34.2,23.6,7.051835362,90,89,399.999999999999,220,1.02549,4.55773333333333,273.464,2.53491910112359,152.095146067416,10.2386732600733,9.87377419354847,263.225326739926,142.221371873867,405.446698613793,45.61700195,5.77033376784478,3.11772729013962,8.8880610579844
"73","Pru-D-2","5","11",2021-03-31,"B2","Xsp","off-species","soft coral","Pru","D","2",12H 17M 0S,6.75,25.7,101.6,13H 48M 0S,7.35,25.4,110.4,34.6,23.3,14H 18M 0S,6.57,25.6,99,15H 49M 0S,6.28,25.5,94.7,197,34.4,23.5,6.897020096,91,91,600,290,1.02427,6.75342857142857,405.205714285714,3.26415714285714,195.849428571429,-9.97992391304327,32.9899429347828,415.185638198757,162.859485636646,578.045123835403,45.61700195,9.1015546934416,3.57014881896783,12.6717035124094
"74","Pru-D-2","8","4",2021-03-22,"B9","Ssp","off-species","soft coral","Pru","D","2",12H 24M 0S,6.78,24.6,100.4,13H 54M 0S,7.35,25.9,111.4,34.2,23.1,14H 30M 0S,6.61,25.2,99,16H 0M 0S,6.27,25.5,94.4,202,34.4,23.1,6.579251631,90,90,569.999999999999,340.000000000001,1.02544,6.49445333333333,389.6672,3.87388444444445,232.433066666667,51.0097000000001,64.6107666666668,338.6575,167.8223,506.4798,45.61700195,7.42393155015308,3.67894190380919,11.1028734539623
"75","Pru-D-2","3","5",2021-03-24,"A11","Csp","off-species","macroalgae","Pru","D","2",12H 18M 0S,6.93,25.4,103.8,13H 50M 0S,7.46,25.4,111.5,34.1,23.5,14H 22M 0S,6.56,25.9,99.3,15H 54M 0S,6.26,25.2,93.9,200,34.2,23.3,7.051835362,92,92,530,300,1.02549,5.90771413043479,354.462847826087,3.34398913043478,200.639347826087,2.5889306636152,-6.30129949121199,351.873917162472,206.940647317299,558.814564479771,45.61700195,7.7136572356981,4.53648066447074,12.2501379001688
"76","Pru-D-2","6","2",2021-03-20,"B4","Mdi","off-species","stony coral","Pru","D","2",12H 24M 0S,6.75,25.5,100.7,13H 56M 0S,7.2,25.8,108.4,34.3,23.2,14H 28M 0S,6.65,25.3,98.3,15H 59M 0S,6.33,25.6,95.1,200,34.3,23.2,6.878144835,92,91,450,320,1.02353,5.00639673913044,300.383804347826,3.59922637362638,215.953582417583,43.396084687052,26.5777471949509,256.987719660774,189.375835222632,446.363554883406,45.61700195,5.63359512189016,4.15143098247016,9.78502610436032
"77","Pru-E-1","5","1",2021-03-19,"B2","Amu","off-species","stony coral","Pru","E","1",12H 10M 0S,6.79,24.8,100.9,13H 40M 0S,7.4,25.8,112.2,34.3,23.6,14H 53M 0S,6.54,25.6,98.7,16H 23M 0S,6.13,25.5,92.8,197,34.5,23.5,6.897020096,90,90,610,410,1.02427,6.94227444444445,416.536466666667,4.66611888888889,279.967133333333,57.1763406593409,36.4522611008327,359.360126007326,243.514872232501,602.874998239827,76.50601563,4.69714862351832,3.1829506507069,7.88009927422522
